Predator,Prey,Pred Mass,Prey Mass,ED_Predator,ED_Prey,EDi,Scenario
Apodemus_peninsulae,Meriones_unguiculatus,1.517196,1.726727,3.332733,1.935270,5.268003,CU
Apodemus_peninsulae,Mus_musculus,1.517196,1.206826,3.332733,2.440809,5.773542,CU
Canis_lupus,Eutamias_sibiricus,4.507631,1.929419,2.754566,18.288112,21.042678000000002,CU
Canis_lupus,Marmota_sibirica,4.507631,3.90309,2.754566,1.435001,4.189567,CU
Canis_lupus,Pteromys_volans,4.507631,2.157759,2.754566,9.866912,12.621478,CU
Canis_lupus,Sciurus_vulgaris,4.507631,2.522444,2.754566,6.010480,8.765046,CU
Canis_lupus,Urocitellus_undulatus,4.507631,2.924279,2.754566,3.405932,6.1604980000000005,CU
Canis_lupus,Apodemus_peninsulae,4.507631,1.517196,2.754566,3.332733,6.087299,CU
Canis_lupus,Meriones_unguiculatus,4.507631,1.726727,2.754566,1.935270,4.689836,CU
Canis_lupus,Lepus_europaeus,4.507631,3.572872,2.754566,2.510362,5.264928,CU
Canis_lupus,Lepus_timidus,4.507631,3.484015,2.754566,0.920346,3.674912,CU
Canis_lupus,Lepus_tolai,4.507631,3.201124,2.754566,0.909018,3.663584,CU
Canis_lupus,Allocricetulus_curtatus,4.507631,1.679428,2.754566,6.490141,9.244707,CU
Canis_lupus,Alticola_macrotis,4.507631,1.556303,2.754566,2.194640,4.949206,CU
Canis_lupus,Alticola_semicanus,4.507631,1.725912,2.754566,2.241872,4.9964379999999995,CU
Canis_lupus,Arvicola_amphibius,4.507631,2.352183,2.754566,4.985109,7.739675,CU
Canis_lupus,Cricetulus_barabensis,4.507631,1.359835,2.754566,7.708787,10.463353,CU
Canis_lupus,Cricetulus_longicaudatus,4.507631,1.344392,2.754566,7.691864,10.44643,CU
Canis_lupus,Ellobius_tancrei,4.507631,1.80956,2.754566,5.518329,8.272895,CU
Canis_lupus,Microtus_arvalis,4.507631,1.447158,2.754566,2.192349,4.946915000000001,CU
Canis_lupus,Microtus_mongolicus,4.507631,1.439333,2.754566,1.694004,4.44857,CU
Canis_lupus,Microtus_oeconomus,4.507631,1.536558,2.754566,3.383413,6.137979,CU
Canis_lupus,Myodes_rufocanus,4.507631,1.568202,2.754566,3.625409,6.379975,CU
Canis_lupus,Myodes_rutilus,4.507631,1.450249,2.754566,4.012081,6.766647000000001,CU
Canis_lupus,Myopus_schisticolor,4.507631,1.39794,2.754566,9.376841,12.131407000000001,CU
Canis_lupus,Ondatra_zibethicus,4.507631,3.027635,2.754566,12.560338,15.314904,CU
Canis_lupus,Mesechinus_dauuricus,4.507631,2.534026,2.754566,6.031679,8.786245,CU
Canis_lupus,Vulpes_corsac,4.507631,3.380211,2.754566,2.597745,5.352311,CU
Canis_lupus,Vulpes_vulpes,4.507631,3.725765,2.754566,3.059260,5.813826000000001,CU
Canis_lupus,Lynx_lynx,4.507631,4.254064,2.754566,2.466918,5.221484,CU
Canis_lupus,Otocolobus_manul,4.507631,3.544068,2.754566,6.202591,8.957157,CU
Gulo_gulo,Eutamias_sibiricus,4.230771,1.929419,11.729333,18.288112,30.017445000000002,CU
Gulo_gulo,Marmota_sibirica,4.230771,3.90309,11.729333,1.435001,13.164334,CU
Gulo_gulo,Pteromys_volans,4.230771,2.157759,11.729333,9.866912,21.596245,CU
Gulo_gulo,Sciurus_vulgaris,4.230771,2.522444,11.729333,6.010480,17.739813,CU
Gulo_gulo,Urocitellus_undulatus,4.230771,2.924279,11.729333,3.405932,15.135265,CU
Gulo_gulo,Allocricetulus_curtatus,4.230771,1.679428,11.729333,6.490141,18.219474,CU
Gulo_gulo,Alticola_macrotis,4.230771,1.556303,11.729333,2.194640,13.923973,CU
Gulo_gulo,Alticola_semicanus,4.230771,1.725912,11.729333,2.241872,13.971205000000001,CU
Gulo_gulo,Arvicola_amphibius,4.230771,2.352183,11.729333,4.985109,16.714442,CU
Gulo_gulo,Cricetulus_barabensis,4.230771,1.359835,11.729333,7.708787,19.43812,CU
Gulo_gulo,Cricetulus_longicaudatus,4.230771,1.344392,11.729333,7.691864,19.421197,CU
Gulo_gulo,Ellobius_tancrei,4.230771,1.80956,11.729333,5.518329,17.247662,CU
Gulo_gulo,Microtus_arvalis,4.230771,1.447158,11.729333,2.192349,13.921682,CU
Gulo_gulo,Microtus_mongolicus,4.230771,1.439333,11.729333,1.694004,13.423337,CU
Gulo_gulo,Microtus_oeconomus,4.230771,1.536558,11.729333,3.383413,15.112746000000001,CU
Gulo_gulo,Myodes_rufocanus,4.230771,1.568202,11.729333,3.625409,15.354742,CU
Gulo_gulo,Myodes_rutilus,4.230771,1.450249,11.729333,4.012081,15.741414,CU
Gulo_gulo,Myopus_schisticolor,4.230771,1.39794,11.729333,9.376841,21.106174000000003,CU
Gulo_gulo,Ondatra_zibethicus,4.230771,3.027635,11.729333,12.560338,24.289671,CU
Gulo_gulo,Apodemus_peninsulae,4.230771,1.517196,11.729333,3.332733,15.062066000000002,CU
Gulo_gulo,Meriones_unguiculatus,4.230771,1.726727,11.729333,1.935270,13.664603,CU
Gulo_gulo,Lepus_europaeus,4.230771,3.572872,11.729333,2.510362,14.239695000000001,CU
Gulo_gulo,Lepus_timidus,4.230771,3.484015,11.729333,0.920346,12.649679,CU
Gulo_gulo,Lepus_tolai,4.230771,3.201124,11.729333,0.909018,12.638351,CU
Gulo_gulo,Mesechinus_dauuricus,4.230771,2.534026,11.729333,6.031679,17.761012,CU
Lutra_lutra,Eutamias_sibiricus,3.943747,1.929419,5.281282,18.288112,23.569394000000003,CU
Lutra_lutra,Marmota_sibirica,3.943747,3.90309,5.281282,1.435001,6.716283,CU
Lutra_lutra,Pteromys_volans,3.943747,2.157759,5.281282,9.866912,15.148194,CU
Lutra_lutra,Sciurus_vulgaris,3.943747,2.522444,5.281282,6.010480,11.291762,CU
Lutra_lutra,Urocitellus_undulatus,3.943747,2.924279,5.281282,3.405932,8.687214,CU
Lutra_lutra,Allocricetulus_curtatus,3.943747,1.679428,5.281282,6.490141,11.771423,CU
Lutra_lutra,Alticola_macrotis,3.943747,1.556303,5.281282,2.194640,7.475922000000001,CU
Lutra_lutra,Alticola_semicanus,3.943747,1.725912,5.281282,2.241872,7.523154,CU
Lutra_lutra,Arvicola_amphibius,3.943747,2.352183,5.281282,4.985109,10.266390999999999,CU
Lutra_lutra,Cricetulus_barabensis,3.943747,1.359835,5.281282,7.708787,12.990069,CU
Lutra_lutra,Cricetulus_longicaudatus,3.943747,1.344392,5.281282,7.691864,12.973146,CU
Lutra_lutra,Ellobius_tancrei,3.943747,1.80956,5.281282,5.518329,10.799610999999999,CU
Lutra_lutra,Microtus_arvalis,3.943747,1.447158,5.281282,2.192349,7.473631,CU
Lutra_lutra,Microtus_mongolicus,3.943747,1.439333,5.281282,1.694004,6.9752860000000005,CU
Lutra_lutra,Microtus_oeconomus,3.943747,1.536558,5.281282,3.383413,8.664695,CU
Lutra_lutra,Myodes_rufocanus,3.943747,1.568202,5.281282,3.625409,8.906691,CU
Lutra_lutra,Myodes_rutilus,3.943747,1.450249,5.281282,4.012081,9.293363,CU
Lutra_lutra,Myopus_schisticolor,3.943747,1.39794,5.281282,9.376841,14.658123,CU
Lutra_lutra,Ondatra_zibethicus,3.943747,3.027635,5.281282,12.560338,17.84162,CU
Lutra_lutra,Apodemus_peninsulae,3.943747,1.517196,5.281282,3.332733,8.614015,CU
Lutra_lutra,Meriones_unguiculatus,3.943747,1.726727,5.281282,1.935270,7.216552,CU
Lutra_lutra,Lepus_europaeus,3.943747,3.572872,5.281282,2.510362,7.791644,CU
Lutra_lutra,Lepus_timidus,3.943747,3.484015,5.281282,0.920346,6.201628,CU
Lutra_lutra,Lepus_tolai,3.943747,3.201124,5.281282,0.909018,6.1903,CU
Lutra_lutra,Mesechinus_dauuricus,3.943747,2.534026,5.281282,6.031679,11.312961,CU
Lynx_lynx,Apodemus_peninsulae,4.254064,1.517196,2.466918,3.332733,5.799651000000001,CU
Lynx_lynx,Meriones_unguiculatus,4.254064,1.726727,2.466918,1.935270,4.402188000000001,CU
Lynx_lynx,Lepus_europaeus,4.254064,3.572872,2.466918,2.510362,4.97728,CU
Lynx_lynx,Lepus_timidus,4.254064,3.484015,2.466918,0.920346,3.387264,CU
Lynx_lynx,Lepus_tolai,4.254064,3.201124,2.466918,0.909018,3.3759360000000003,CU
Lynx_lynx,Otocolobus_manul,4.254064,3.544068,2.466918,6.202591,8.669509,CU
Lynx_lynx,Vulpes_corsac,4.254064,3.380211,2.466918,2.597745,5.064663,CU
Lynx_lynx,Vulpes_vulpes,4.254064,3.725765,2.466918,3.059260,5.526178,CU
Lynx_lynx,Allocricetulus_curtatus,4.254064,1.679428,2.466918,6.490141,8.957059000000001,CU
Lynx_lynx,Alticola_macrotis,4.254064,1.556303,2.466918,2.194640,4.661558,CU
Lynx_lynx,Alticola_semicanus,4.254064,1.725912,2.466918,2.241872,4.7087900000000005,CU
Lynx_lynx,Arvicola_amphibius,4.254064,2.352183,2.466918,4.985109,7.452026999999999,CU
Lynx_lynx,Cricetulus_barabensis,4.254064,1.359835,2.466918,7.708787,10.175705,CU
Lynx_lynx,Cricetulus_longicaudatus,4.254064,1.344392,2.466918,7.691864,10.158782,CU
