Predator,Prey,Pred Mass,Prey Mass,ED_Predator,ED_Prey,EDi,Scenario
Acinonyx_jubatus,Ammotragus_lervia,4.669317,4.681241,5.919435,2.495281,8.414716,CU
Acinonyx_jubatus,Gazella_dorcas,4.669317,4.36173,5.919435,1.328670,7.248105,CU
Acinonyx_jubatus,Gazella_leptoceros,4.669317,4.346353,5.919435,1.784240,7.7036750000000005,CU
Acinonyx_jubatus,Procavia_capensis,4.669317,3.481443,5.919435,23.346908,29.266343,CU
Acinonyx_jubatus,Acomys_cahirinus,4.669317,1.720159,5.919435,1.951968,7.871403,CU
Acinonyx_jubatus,Acomys_seurati,4.669317,1.85248,5.919435,1.817138,7.736573,CU
Acinonyx_jubatus,Arvicanthis_niloticus,4.669317,2.028978,5.919435,1.300522,7.219957,CU
Acinonyx_jubatus,Gerbillus_campestris,4.669317,1.453318,5.919435,2.987925,8.90736,CU
Acinonyx_jubatus,Gerbillus_gerbillus,4.669317,1.39794,5.919435,2.840613,8.760048,CU
Acinonyx_jubatus,Gerbillus_nanus,4.669317,1.332438,5.919435,3.254353,9.173788,CU
Acinonyx_jubatus,Gerbillus_tarabuli,4.669317,1.628389,5.919435,2.982519,8.901954,CU
Acinonyx_jubatus,Meriones_crassus,4.669317,1.90309,5.919435,1.928386,7.847821,CU
Acinonyx_jubatus,Meriones_libycus,4.669317,1.960471,5.919435,1.874221,7.793656,CU
Acinonyx_jubatus,Pachyuromys_duprasi,4.669317,1.676694,5.919435,12.675931,18.595366,CU
Acinonyx_jubatus,Psammomys_obesus,4.669317,2.567732,5.919435,8.199900,14.119335,CU
Acinonyx_jubatus,Lepus_capensis,4.669317,3.513444,5.919435,1.282222,7.201657,CU
Acinonyx_jubatus,Hyaena_hyaena,4.669317,4.620189,5.919435,6.378971,12.298406,CU
Acinonyx_jubatus,Caracal_caracal,4.669317,4.1383,5.919435,6.580669,12.500104,CU
Acinonyx_jubatus,Felis_margarita,4.669317,3.402261,5.919435,2.850076,8.769511,CU
Acinonyx_jubatus,Felis_silvestris,4.669317,3.740363,5.919435,1.865149,7.784584,CU
Acinonyx_jubatus,Panthera_pardus,4.669317,4.74036,5.919435,5.819712,11.739146999999999,CU
Acinonyx_jubatus,Canis_aureus,4.669317,4.014739,5.919435,3.533862,9.453297,CU
Acinonyx_jubatus,Lycaon_pictus,4.669317,4.343411,5.919435,5.806932,11.726367,CU
Acinonyx_jubatus,Vulpes_rueppellii,4.669317,3.457125,5.919435,3.048429,8.967864,CU
Acinonyx_jubatus,Vulpes_zerda,4.669317,3.041393,5.919435,11.178006,17.097441,CU
Acomys_cahirinus,Acomys_seurati,1.720159,1.85248,1.951968,1.817138,3.769106,CU
Acomys_cahirinus,Arvicanthis_niloticus,1.720159,2.028978,1.951968,1.300522,3.25249,CU
Acomys_cahirinus,Gerbillus_campestris,1.720159,1.453318,1.951968,2.987925,4.939893,CU
Acomys_cahirinus,Gerbillus_gerbillus,1.720159,1.39794,1.951968,2.840613,4.792581,CU
Acomys_cahirinus,Gerbillus_nanus,1.720159,1.332438,1.951968,3.254353,5.206321,CU
Acomys_cahirinus,Gerbillus_tarabuli,1.720159,1.628389,1.951968,2.982519,4.934487,CU
Acomys_cahirinus,Meriones_crassus,1.720159,1.90309,1.951968,1.928386,3.8803539999999996,CU
Acomys_cahirinus,Meriones_libycus,1.720159,1.960471,1.951968,1.874221,3.826189,CU
Acomys_cahirinus,Pachyuromys_duprasi,1.720159,1.676694,1.951968,12.675931,14.627899,CU
Acomys_seurati,Acomys_cahirinus,1.85248,1.720159,1.817138,1.951968,3.769106,CU
Acomys_seurati,Arvicanthis_niloticus,1.85248,2.028978,1.817138,1.300522,3.11766,CU
Acomys_seurati,Gerbillus_campestris,1.85248,1.453318,1.817138,2.987925,4.8050630000000005,CU
Acomys_seurati,Gerbillus_gerbillus,1.85248,1.39794,1.817138,2.840613,4.657750999999999,CU
Acomys_seurati,Gerbillus_nanus,1.85248,1.332438,1.817138,3.254353,5.071491,CU
Acomys_seurati,Gerbillus_tarabuli,1.85248,1.628389,1.817138,2.982519,4.799657,CU
Acomys_seurati,Meriones_crassus,1.85248,1.90309,1.817138,1.928386,3.7455239999999996,CU
Acomys_seurati,Meriones_libycus,1.85248,1.960471,1.817138,1.874221,3.691359,CU
Acomys_seurati,Pachyuromys_duprasi,1.85248,1.676694,1.817138,12.675931,14.493069,CU
Arvicanthis_niloticus,Acomys_cahirinus,2.028978,1.720159,1.300522,1.951968,3.25249,CU
Arvicanthis_niloticus,Acomys_seurati,2.028978,1.85248,1.300522,1.817138,3.11766,CU
Arvicanthis_niloticus,Gerbillus_campestris,2.028978,1.453318,1.300522,2.987925,4.288447,CU
Arvicanthis_niloticus,Gerbillus_gerbillus,2.028978,1.39794,1.300522,2.840613,4.141135,CU
Arvicanthis_niloticus,Gerbillus_nanus,2.028978,1.332438,1.300522,3.254353,4.554875,CU
Arvicanthis_niloticus,Gerbillus_tarabuli,2.028978,1.628389,1.300522,2.982519,4.283041,CU
Arvicanthis_niloticus,Meriones_crassus,2.028978,1.90309,1.300522,1.928386,3.2289079999999997,CU
Arvicanthis_niloticus,Meriones_libycus,2.028978,1.960471,1.300522,1.874221,3.174743,CU
Arvicanthis_niloticus,Pachyuromys_duprasi,2.028978,1.676694,1.300522,12.675931,13.976453,CU
Canis_aureus,Acomys_cahirinus,4.014739,1.720159,3.533862,1.951968,5.48583,CU
Canis_aureus,Acomys_seurati,4.014739,1.85248,3.533862,1.817138,5.351,CU
Canis_aureus,Arvicanthis_niloticus,4.014739,2.028978,3.533862,1.300522,4.834384,CU
Canis_aureus,Gerbillus_campestris,4.014739,1.453318,3.533862,2.987925,6.521787,CU
Canis_aureus,Gerbillus_gerbillus,4.014739,1.39794,3.533862,2.840613,6.374475,CU
Canis_aureus,Gerbillus_nanus,4.014739,1.332438,3.533862,3.254353,6.788215,CU
Canis_aureus,Gerbillus_tarabuli,4.014739,1.628389,3.533862,2.982519,6.516381,CU
Canis_aureus,Meriones_crassus,4.014739,1.90309,3.533862,1.928386,5.462248,CU
Canis_aureus,Meriones_libycus,4.014739,1.960471,3.533862,1.874221,5.4080829999999995,CU
Canis_aureus,Pachyuromys_duprasi,4.014739,1.676694,3.533862,12.675931,16.209793,CU
Canis_aureus,Psammomys_obesus,4.014739,2.567732,3.533862,8.199900,11.733761999999999,CU
Canis_aureus,Lepus_capensis,4.014739,3.513444,3.533862,1.282222,4.816084,CU
Canis_aureus,Procavia_capensis,4.014739,3.481443,3.533862,23.346908,26.88077,CU
Canis_aureus,Vulpes_rueppellii,4.014739,3.457125,3.533862,3.048429,6.582291,CU
Canis_aureus,Vulpes_zerda,4.014739,3.041393,3.533862,11.178006,14.711867999999999,CU
Canis_aureus,Caracal_caracal,4.014739,4.1383,3.533862,6.580669,10.114531,CU
Canis_aureus,Felis_margarita,4.014739,3.402261,3.533862,2.850076,6.3839380000000006,CU
Canis_aureus,Felis_silvestris,4.014739,3.740363,3.533862,1.865149,5.399011,CU
Caracal_caracal,Procavia_capensis,4.1383,3.481443,6.580669,23.346908,29.927577,CU
Caracal_caracal,Acomys_cahirinus,4.1383,1.720159,6.580669,1.951968,8.532637000000001,CU
Caracal_caracal,Acomys_seurati,4.1383,1.85248,6.580669,1.817138,8.397807,CU
Caracal_caracal,Arvicanthis_niloticus,4.1383,2.028978,6.580669,1.300522,7.881191,CU
Caracal_caracal,Gerbillus_campestris,4.1383,1.453318,6.580669,2.987925,9.568594000000001,CU
Caracal_caracal,Gerbillus_gerbillus,4.1383,1.39794,6.580669,2.840613,9.421282,CU
Caracal_caracal,Gerbillus_nanus,4.1383,1.332438,6.580669,3.254353,9.835022,CU
Caracal_caracal,Gerbillus_tarabuli,4.1383,1.628389,6.580669,2.982519,9.563188,CU
Caracal_caracal,Meriones_crassus,4.1383,1.90309,6.580669,1.928386,8.509055,CU
Caracal_caracal,Meriones_libycus,4.1383,1.960471,6.580669,1.874221,8.45489,CU
Caracal_caracal,Pachyuromys_duprasi,4.1383,1.676694,6.580669,12.675931,19.2566,CU
Caracal_caracal,Psammomys_obesus,4.1383,2.567732,6.580669,8.199900,14.780569,CU
Caracal_caracal,Lepus_capensis,4.1383,3.513444,6.580669,1.282222,7.862891,CU
Caracal_caracal,Felis_margarita,4.1383,3.402261,6.580669,2.850076,9.430745,CU
Caracal_caracal,Felis_silvestris,4.1383,3.740363,6.580669,1.865149,8.445818000000001,CU
Caracal_caracal,Canis_aureus,4.1383,4.014739,6.580669,3.533862,10.114531,CU
Caracal_caracal,Vulpes_rueppellii,4.1383,3.457125,6.580669,3.048429,9.629098,CU
Caracal_caracal,Vulpes_zerda,4.1383,3.041393,6.580669,11.178006,17.758675,CU
Felis_margarita,Procavia_capensis,3.402261,3.481443,2.850076,23.346908,26.196984,CU
Felis_margarita,Acomys_cahirinus,3.402261,1.720159,2.850076,1.951968,4.802044,CU
Felis_margarita,Acomys_seurati,3.402261,1.85248,2.850076,1.817138,4.6672139999999995,CU
Felis_margarita,Arvicanthis_niloticus,3.402261,2.028978,2.850076,1.300522,4.1505980000000005,CU
